   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 8 : Time = 7.001095
 Number         8
  237767  0.11665E+03
  237768  0.11692E+03
  237769  0.11742E+03
  237770  0.11815E+03
  237771  0.11913E+03
  237772  0.12037E+03
  237773  0.12176E+03
  237774  0.12320E+03
  237775  0.12459E+03
  237776  0.12580E+03
  237777  0.12673E+03
  237778  0.12734E+03
  237779  0.12759E+03
  237780  0.12749E+03
  237781  0.12705E+03
  237782  0.12627E+03
  237783  0.12517E+03
  237784  0.12378E+03
  237785  0.12213E+03
  237786  0.12023E+03
  237787  0.11812E+03
  237788  0.11582E+03
  237789  0.11343E+03
  237790  0.11106E+03
  237791  0.10873E+03
  237792  0.10648E+03
  237793  0.10433E+03
  237794  0.10227E+03
  237795  0.10040E+03
  237796  0.98684E+02
  237797  0.97126E+02
  237798  0.95715E+02
  237799  0.94410E+02
  237800  0.93182E+02
  237801  0.92021E+02
  237802  0.90936E+02
  237803  0.89924E+02
  237804  0.88943E+02
  237805  0.87998E+02
  237806  0.87114E+02
  237807  0.86268E+02
  237808  0.85455E+02
  237809  0.84680E+02
  237810  0.83971E+02
  237811  0.83377E+02
  237812  0.82929E+02
  237813  0.82625E+02
  237814  0.82465E+02
  237815  0.82456E+02
  237816  0.82597E+02
  237817  0.82891E+02
  237818  0.83349E+02
  237819  0.83971E+02
  237820  0.84736E+02
  237821  0.85620E+02
  237822  0.86637E+02
  237823  0.87793E+02
  237824  0.89076E+02
  237825  0.90435E+02
  237826  0.91796E+02
  237827  0.93086E+02
  237828  0.94256E+02
  237829  0.95330E+02
  237830  0.96318E+02
  237831  0.97143E+02
  237832  0.97741E+02
  237833  0.98154E+02
  237834  0.98502E+02
  237835  0.98848E+02
  237836  0.99188E+02
  237837  0.99518E+02
  237838  0.99839E+02
  237839  0.10015E+03
  237840  0.10043E+03
  237841  0.10068E+03
  237842  0.10089E+03
  237843  0.10106E+03
  237844  0.10121E+03
  237845  0.10134E+03
  237846  0.10147E+03
  237847  0.10159E+03
  237848  0.10170E+03
