   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 2 : Time = 1.000264
 Number         2
  237767  0.31737E+03
  237768  0.31786E+03
  237769  0.31884E+03
  237770  0.32040E+03
  237771  0.32267E+03
  237772  0.32576E+03
  237773  0.32954E+03
  237774  0.33377E+03
  237775  0.33821E+03
  237776  0.34244E+03
  237777  0.34617E+03
  237778  0.34923E+03
  237779  0.35144E+03
  237780  0.35286E+03
  237781  0.35357E+03
  237782  0.35360E+03
  237783  0.35308E+03
  237784  0.35219E+03
  237785  0.35093E+03
  237786  0.34932E+03
  237787  0.34739E+03
  237788  0.34512E+03
  237789  0.34274E+03
  237790  0.34049E+03
  237791  0.33814E+03
  237792  0.33579E+03
  237793  0.33339E+03
  237794  0.33108E+03
  237795  0.32925E+03
  237796  0.32770E+03
  237797  0.32641E+03
  237798  0.32528E+03
  237799  0.32420E+03
  237800  0.32304E+03
  237801  0.32179E+03
  237802  0.32072E+03
  237803  0.32018E+03
  237804  0.32003E+03
  237805  0.32026E+03
  237806  0.32103E+03
  237807  0.32208E+03
  237808  0.32318E+03
  237809  0.32423E+03
  237810  0.32521E+03
  237811  0.32610E+03
  237812  0.32687E+03
  237813  0.32765E+03
  237814  0.32862E+03
  237815  0.32976E+03
  237816  0.33106E+03
  237817  0.33249E+03
  237818  0.33405E+03
  237819  0.33569E+03
  237820  0.33726E+03
  237821  0.33866E+03
  237822  0.33990E+03
  237823  0.34082E+03
  237824  0.34095E+03
  237825  0.33917E+03
  237826  0.33316E+03
  237827  0.33246E+03
  237828  0.33898E+03
  237829  0.34361E+03
  237830  0.34688E+03
  237831  0.34952E+03
  237832  0.35180E+03
  237833  0.35375E+03
  237834  0.35555E+03
  237835  0.35716E+03
  237836  0.35839E+03
  237837  0.35925E+03
  237838  0.35987E+03
  237839  0.36032E+03
  237840  0.36060E+03
  237841  0.36071E+03
  237842  0.36068E+03
  237843  0.36055E+03
  237844  0.36035E+03
  237845  0.36011E+03
  237846  0.35987E+03
  237847  0.35962E+03
  237848  0.35941E+03
