   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 10 : Time = 9.000191
 Number        10
  237767  0.92970E+02
  237768  0.93149E+02
  237769  0.93485E+02
  237770  0.93971E+02
  237771  0.94612E+02
  237772  0.95413E+02
  237773  0.96301E+02
  237774  0.97197E+02
  237775  0.98041E+02
  237776  0.98733E+02
  237777  0.99208E+02
  237778  0.99441E+02
  237779  0.99406E+02
  237780  0.99114E+02
  237781  0.98582E+02
  237782  0.97813E+02
  237783  0.96817E+02
  237784  0.95628E+02
  237785  0.94262E+02
  237786  0.92729E+02
  237787  0.91065E+02
  237788  0.89304E+02
  237789  0.87504E+02
  237790  0.85731E+02
  237791  0.83973E+02
  237792  0.82261E+02
  237793  0.80598E+02
  237794  0.79012E+02
  237795  0.77572E+02
  237796  0.76260E+02
  237797  0.75077E+02
  237798  0.74008E+02
  237799  0.73025E+02
  237800  0.72110E+02
  237801  0.71256E+02
  237802  0.70467E+02
  237803  0.69743E+02
  237804  0.69055E+02
  237805  0.68407E+02
  237806  0.67817E+02
  237807  0.67266E+02
  237808  0.66747E+02
  237809  0.66262E+02
  237810  0.65824E+02
  237811  0.65465E+02
  237812  0.65201E+02
  237813  0.65022E+02
  237814  0.64922E+02
  237815  0.64899E+02
  237816  0.64950E+02
  237817  0.65079E+02
  237818  0.65297E+02
  237819  0.65606E+02
  237820  0.65993E+02
  237821  0.66447E+02
  237822  0.66983E+02
  237823  0.67610E+02
  237824  0.68319E+02
  237825  0.69083E+02
  237826  0.69843E+02
  237827  0.70594E+02
  237828  0.71309E+02
  237829  0.71966E+02
  237830  0.72583E+02
  237831  0.73105E+02
  237832  0.73477E+02
  237833  0.73723E+02
  237834  0.73921E+02
  237835  0.74115E+02
  237836  0.74306E+02
  237837  0.74497E+02
  237838  0.74698E+02
  237839  0.74912E+02
  237840  0.75121E+02
  237841  0.75310E+02
  237842  0.75469E+02
  237843  0.75598E+02
  237844  0.75707E+02
  237845  0.75803E+02
  237846  0.75900E+02
  237847  0.75997E+02
  237848  0.76088E+02
