   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 6 : Time = 5.000165
 Number         6
  237767  0.15148E+03
  237768  0.15189E+03
  237769  0.15267E+03
  237770  0.15384E+03
  237771  0.15541E+03
  237772  0.15739E+03
  237773  0.15967E+03
  237774  0.16210E+03
  237775  0.16453E+03
  237776  0.16674E+03
  237777  0.16860E+03
  237778  0.17003E+03
  237779  0.17095E+03
  237780  0.17137E+03
  237781  0.17130E+03
  237782  0.17072E+03
  237783  0.16966E+03
  237784  0.16816E+03
  237785  0.16626E+03
  237786  0.16396E+03
  237787  0.16134E+03
  237788  0.15844E+03
  237789  0.15538E+03
  237790  0.15227E+03
  237791  0.14914E+03
  237792  0.14610E+03
  237793  0.14318E+03
  237794  0.14038E+03
  237795  0.13782E+03
  237796  0.13548E+03
  237797  0.13338E+03
  237798  0.13149E+03
  237799  0.12976E+03
  237800  0.12812E+03
  237801  0.12655E+03
  237802  0.12506E+03
  237803  0.12366E+03
  237804  0.12225E+03
  237805  0.12084E+03
  237806  0.11948E+03
  237807  0.11815E+03
  237808  0.11684E+03
  237809  0.11557E+03
  237810  0.11439E+03
  237811  0.11338E+03
  237812  0.11261E+03
  237813  0.11210E+03
  237814  0.11185E+03
  237815  0.11189E+03
  237816  0.11221E+03
  237817  0.11283E+03
  237818  0.11375E+03
  237819  0.11497E+03
  237820  0.11645E+03
  237821  0.11814E+03
  237822  0.12005E+03
  237823  0.12218E+03
  237824  0.12449E+03
  237825  0.12686E+03
  237826  0.12897E+03
  237827  0.13111E+03
  237828  0.13325E+03
  237829  0.13501E+03
  237830  0.13652E+03
  237831  0.13773E+03
  237832  0.13860E+03
  237833  0.13922E+03
  237834  0.13977E+03
  237835  0.14034E+03
  237836  0.14090E+03
  237837  0.14144E+03
  237838  0.14198E+03
  237839  0.14251E+03
  237840  0.14300E+03
  237841  0.14341E+03
  237842  0.14373E+03
  237843  0.14396E+03
  237844  0.14411E+03
  237845  0.14422E+03
  237846  0.14430E+03
  237847  0.14439E+03
  237848  0.14447E+03
