   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 9 : Time = 8.000443
 Number         9
  237767  0.10378E+03
  237768  0.10400E+03
  237769  0.10441E+03
  237770  0.10500E+03
  237771  0.10578E+03
  237772  0.10675E+03
  237773  0.10784E+03
  237774  0.10896E+03
  237775  0.11003E+03
  237776  0.11093E+03
  237777  0.11159E+03
  237778  0.11197E+03
  237779  0.11205E+03
  237780  0.11182E+03
  237781  0.11132E+03
  237782  0.11053E+03
  237783  0.10948E+03
  237784  0.10819E+03
  237785  0.10669E+03
  237786  0.10499E+03
  237787  0.10313E+03
  237788  0.10114E+03
  237789  0.99092E+02
  237790  0.97074E+02
  237791  0.95066E+02
  237792  0.93102E+02
  237793  0.91186E+02
  237794  0.89358E+02
  237795  0.87703E+02
  237796  0.86198E+02
  237797  0.84841E+02
  237798  0.83612E+02
  237799  0.82479E+02
  237800  0.81421E+02
  237801  0.80430E+02
  237802  0.79514E+02
  237803  0.78668E+02
  237804  0.77853E+02
  237805  0.77073E+02
  237806  0.76355E+02
  237807  0.75675E+02
  237808  0.75030E+02
  237809  0.74420E+02
  237810  0.73868E+02
  237811  0.73410E+02
  237812  0.73068E+02
  237813  0.72836E+02
  237814  0.72709E+02
  237815  0.72691E+02
  237816  0.72780E+02
  237817  0.72978E+02
  237818  0.73296E+02
  237819  0.73736E+02
  237820  0.74282E+02
  237821  0.74917E+02
  237822  0.75655E+02
  237823  0.76501E+02
  237824  0.77446E+02
  237825  0.78463E+02
  237826  0.79511E+02
  237827  0.80503E+02
  237828  0.81390E+02
  237829  0.82219E+02
  237830  0.82997E+02
  237831  0.83647E+02
  237832  0.84103E+02
  237833  0.84397E+02
  237834  0.84628E+02
  237835  0.84852E+02
  237836  0.85073E+02
  237837  0.85303E+02
  237838  0.85553E+02
  237839  0.85825E+02
  237840  0.86096E+02
  237841  0.86342E+02
  237842  0.86547E+02
  237843  0.86713E+02
  237844  0.86851E+02
  237845  0.86971E+02
  237846  0.87087E+02
  237847  0.87201E+02
  237848  0.87307E+02
