   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 7 : Time = 6.000411
 Number         7
  237767  0.13228E+03
  237768  0.13261E+03
  237769  0.13323E+03
  237770  0.13415E+03
  237771  0.13538E+03
  237772  0.13693E+03
  237773  0.13870E+03
  237774  0.14054E+03
  237775  0.14236E+03
  237776  0.14398E+03
  237777  0.14530E+03
  237778  0.14625E+03
  237779  0.14678E+03
  237780  0.14689E+03
  237781  0.14660E+03
  237782  0.14590E+03
  237783  0.14480E+03
  237784  0.14335E+03
  237785  0.14158E+03
  237786  0.13949E+03
  237787  0.13714E+03
  237788  0.13458E+03
  237789  0.13190E+03
  237790  0.12922E+03
  237791  0.12653E+03
  237792  0.12391E+03
  237793  0.12138E+03
  237794  0.11895E+03
  237795  0.11675E+03
  237796  0.11473E+03
  237797  0.11292E+03
  237798  0.11128E+03
  237799  0.10977E+03
  237800  0.10834E+03
  237801  0.10698E+03
  237802  0.10570E+03
  237803  0.10450E+03
  237804  0.10332E+03
  237805  0.10216E+03
  237806  0.10105E+03
  237807  0.99985E+02
  237808  0.98941E+02
  237809  0.97943E+02
  237810  0.97028E+02
  237811  0.96252E+02
  237812  0.95659E+02
  237813  0.95257E+02
  237814  0.95054E+02
  237815  0.95061E+02
  237816  0.95278E+02
  237817  0.95706E+02
  237818  0.96356E+02
  237819  0.97228E+02
  237820  0.98292E+02
  237821  0.99518E+02
  237822  0.10092E+03
  237823  0.10249E+03
  237824  0.10424E+03
  237825  0.10609E+03
  237826  0.10796E+03
  237827  0.10966E+03
  237828  0.11112E+03
  237829  0.11242E+03
  237830  0.11360E+03
  237831  0.11456E+03
  237832  0.11526E+03
  237833  0.11575E+03
  237834  0.11617E+03
  237835  0.11659E+03
  237836  0.11701E+03
  237837  0.11743E+03
  237838  0.11785E+03
  237839  0.11828E+03
  237840  0.11867E+03
  237841  0.11901E+03
  237842  0.11926E+03
  237843  0.11945E+03
  237844  0.11960E+03
  237845  0.11973E+03
  237846  0.11986E+03
  237847  0.12000E+03
  237848  0.12014E+03
