   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State end : Time = 9.999596
 Number        11
  237767  0.83851E+02
  237768  0.84001E+02
  237769  0.84281E+02
  237770  0.84681E+02
  237771  0.85210E+02
  237772  0.85870E+02
  237773  0.86598E+02
  237774  0.87321E+02
  237775  0.87992E+02
  237776  0.88525E+02
  237777  0.88866E+02
  237778  0.88994E+02
  237779  0.88891E+02
  237780  0.88566E+02
  237781  0.88036E+02
  237782  0.87303E+02
  237783  0.86378E+02
  237784  0.85291E+02
  237785  0.84058E+02
  237786  0.82688E+02
  237787  0.81208E+02
  237788  0.79643E+02
  237789  0.78044E+02
  237790  0.76473E+02
  237791  0.74925E+02
  237792  0.73430E+02
  237793  0.71987E+02
  237794  0.70619E+02
  237795  0.69375E+02
  237796  0.68238E+02
  237797  0.67208E+02
  237798  0.66276E+02
  237799  0.65419E+02
  237800  0.64624E+02
  237801  0.63885E+02
  237802  0.63206E+02
  237803  0.62584E+02
  237804  0.61996E+02
  237805  0.61447E+02
  237806  0.60951E+02
  237807  0.60492E+02
  237808  0.60063E+02
  237809  0.59664E+02
  237810  0.59306E+02
  237811  0.59015E+02
  237812  0.58800E+02
  237813  0.58654E+02
  237814  0.58563E+02
  237815  0.58530E+02
  237816  0.58552E+02
  237817  0.58631E+02
  237818  0.58776E+02
  237819  0.58992E+02
  237820  0.59269E+02
  237821  0.59598E+02
  237822  0.59992E+02
  237823  0.60458E+02
  237824  0.60986E+02
  237825  0.61563E+02
  237826  0.62165E+02
  237827  0.62746E+02
  237828  0.63281E+02
  237829  0.63799E+02
  237830  0.64295E+02
  237831  0.64716E+02
  237832  0.65012E+02
  237833  0.65204E+02
  237834  0.65358E+02
  237835  0.65512E+02
  237836  0.65665E+02
  237837  0.65817E+02
  237838  0.65973E+02
  237839  0.66132E+02
  237840  0.66285E+02
  237841  0.66421E+02
  237842  0.66539E+02
  237843  0.66642E+02
  237844  0.66734E+02
  237845  0.66822E+02
  237846  0.66915E+02
  237847  0.67010E+02
  237848  0.67097E+02
  237849  0.67179E+02
