   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 4 : Time = 3.000873
 Number         4
  237767  0.20774E+03
  237768  0.20836E+03
  237769  0.20958E+03
  237770  0.21142E+03
  237771  0.21391E+03
  237772  0.21709E+03
  237773  0.22083E+03
  237774  0.22492E+03
  237775  0.22914E+03
  237776  0.23315E+03
  237777  0.23671E+03
  237778  0.23967E+03
  237779  0.24188E+03
  237780  0.24333E+03
  237781  0.24401E+03
  237782  0.24391E+03
  237783  0.24304E+03
  237784  0.24148E+03
  237785  0.23927E+03
  237786  0.23642E+03
  237787  0.23303E+03
  237788  0.22917E+03
  237789  0.22504E+03
  237790  0.22087E+03
  237791  0.21665E+03
  237792  0.21198E+03
  237793  0.20817E+03
  237794  0.20527E+03
  237795  0.20221E+03
  237796  0.19945E+03
  237797  0.19701E+03
  237798  0.19481E+03
  237799  0.19274E+03
  237800  0.19074E+03
  237801  0.18880E+03
  237802  0.18697E+03
  237803  0.18527E+03
  237804  0.18353E+03
  237805  0.18177E+03
  237806  0.18011E+03
  237807  0.17851E+03
  237808  0.17694E+03
  237809  0.17543E+03
  237810  0.17403E+03
  237811  0.17285E+03
  237812  0.17198E+03
  237813  0.17148E+03
  237814  0.17138E+03
  237815  0.17173E+03
  237816  0.17252E+03
  237817  0.17379E+03
  237818  0.17555E+03
  237819  0.17779E+03
  237820  0.18040E+03
  237821  0.18330E+03
  237822  0.18646E+03
  237823  0.18987E+03
  237824  0.19349E+03
  237825  0.19714E+03
  237826  0.20048E+03
  237827  0.20343E+03
  237828  0.20596E+03
  237829  0.20795E+03
  237830  0.20944E+03
  237831  0.21055E+03
  237832  0.21152E+03
  237833  0.21253E+03
  237834  0.21369E+03
  237835  0.21488E+03
  237836  0.21591E+03
  237837  0.21676E+03
  237838  0.21754E+03
  237839  0.21830E+03
  237840  0.21899E+03
  237841  0.21952E+03
  237842  0.21986E+03
  237843  0.22004E+03
  237844  0.22011E+03
  237845  0.22012E+03
  237846  0.22010E+03
  237847  0.22006E+03
  237848  0.22002E+03
