   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 3 : Time = 2.000974
 Number         3
  237767  0.25208E+03
  237768  0.25275E+03
  237769  0.25408E+03
  237770  0.25611E+03
  237771  0.25894E+03
  237772  0.26264E+03
  237773  0.26708E+03
  237774  0.27202E+03
  237775  0.27724E+03
  237776  0.28230E+03
  237777  0.28687E+03
  237778  0.29074E+03
  237779  0.29374E+03
  237780  0.29582E+03
  237781  0.29700E+03
  237782  0.29723E+03
  237783  0.29657E+03
  237784  0.29512E+03
  237785  0.29285E+03
  237786  0.28978E+03
  237787  0.28597E+03
  237788  0.28142E+03
  237789  0.27613E+03
  237790  0.27061E+03
  237791  0.26564E+03
  237792  0.26099E+03
  237793  0.25830E+03
  237794  0.25676E+03
  237795  0.25422E+03
  237796  0.25162E+03
  237797  0.24912E+03
  237798  0.24680E+03
  237799  0.24474E+03
  237800  0.24303E+03
  237801  0.24161E+03
  237802  0.24043E+03
  237803  0.23946E+03
  237804  0.23847E+03
  237805  0.23742E+03
  237806  0.23639E+03
  237807  0.23527E+03
  237808  0.23407E+03
  237809  0.23286E+03
  237810  0.23172E+03
  237811  0.23081E+03
  237812  0.23023E+03
  237813  0.22999E+03
  237814  0.23011E+03
  237815  0.23062E+03
  237816  0.23153E+03
  237817  0.23291E+03
  237818  0.23482E+03
  237819  0.23724E+03
  237820  0.24006E+03
  237821  0.24315E+03
  237822  0.24643E+03
  237823  0.24977E+03
  237824  0.25299E+03
  237825  0.25592E+03
  237826  0.25859E+03
  237827  0.26092E+03
  237828  0.26302E+03
  237829  0.26498E+03
  237830  0.26653E+03
  237831  0.26763E+03
  237832  0.26851E+03
  237833  0.26949E+03
  237834  0.27084E+03
  237835  0.27250E+03
  237836  0.27415E+03
  237837  0.27565E+03
  237838  0.27693E+03
  237839  0.27797E+03
  237840  0.27869E+03
  237841  0.27908E+03
  237842  0.27922E+03
  237843  0.27920E+03
  237844  0.27912E+03
  237845  0.27904E+03
  237846  0.27898E+03
  237847  0.27895E+03
  237848  0.27891E+03
