   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 5 : Time = 4.000541
 Number         5
  238021  0.17820E+03
  238022  0.17809E+03
  238023  0.17786E+03
  238024  0.17750E+03
  238025  0.17698E+03
  238026  0.17628E+03
  238027  0.17539E+03
  238028  0.17434E+03
  238029  0.17306E+03
  238030  0.17146E+03
  238031  0.16955E+03
  238032  0.16727E+03
  238033  0.16565E+03
  238034  0.16490E+03
  238035  0.16411E+03
  238036  0.16325E+03
  238037  0.16232E+03
  238038  0.16135E+03
  238039  0.16039E+03
  238040  0.15947E+03
  238041  0.15862E+03
  238042  0.15778E+03
  238043  0.15692E+03
  238044  0.15610E+03
  238045  0.15525E+03
  238046  0.15442E+03
  238047  0.15373E+03
  238048  0.15318E+03
  238049  0.15276E+03
  238050  0.15260E+03
  238051  0.15281E+03
  238052  0.15345E+03
  238053  0.15460E+03
  238054  0.15618E+03
  238055  0.15816E+03
  238056  0.16062E+03
  238057  0.16372E+03
  238058  0.16764E+03
  238059  0.17254E+03
  238060  0.17860E+03
  238061  0.18597E+03
  238062  0.19481E+03
  238063  0.20514E+03
  238064  0.21710E+03
  238065  0.23069E+03
  238066  0.24512E+03
  238067  0.25918E+03
  238068  0.27219E+03
  238069  0.28390E+03
  238070  0.29416E+03
  238071  0.30296E+03
  238072  0.31033E+03
  238073  0.31626E+03
  238074  0.32071E+03
  238075  0.32365E+03
  238076  0.32511E+03
  238077  0.16072E+03
  238078  0.16117E+03
  238079  0.16207E+03
  238080  0.16337E+03
  238081  0.16506E+03
  238082  0.16719E+03
  238083  0.16984E+03
  238084  0.17315E+03
  238085  0.17702E+03
  238086  0.18109E+03
  238087  0.18493E+03
  238088  0.18831E+03
  238089  0.19111E+03
  238090  0.19326E+03
  238091  0.19472E+03
  238092  0.19549E+03
  238093  0.19558E+03
  238094  0.19498E+03
  238095  0.19372E+03
  238096  0.19182E+03
  238097  0.18925E+03
  238098  0.18602E+03
  238099  0.18215E+03
  238100  0.17780E+03
  238101  0.17337E+03
  238102  0.17018E+03
  238103  0.16766E+03
  238104  0.16469E+03
  238105  0.16189E+03
  238106  0.15936E+03
  238107  0.15709E+03
  238108  0.15509E+03
  238109  0.15330E+03
  238110  0.15165E+03
  238111  0.15011E+03
  238112  0.14865E+03
  238113  0.14732E+03
  238114  0.14611E+03
  238115  0.14491E+03
  238116  0.14371E+03
  238117  0.14257E+03
  238118  0.14152E+03
  238119  0.14058E+03
  238120  0.13977E+03
  238121  0.13911E+03
  238122  0.13865E+03
  238123  0.13842E+03
  238124  0.13845E+03
  238125  0.13877E+03
  238126  0.13937E+03
  238127  0.14023E+03
  238128  0.14132E+03
  238129  0.14262E+03
  238130  0.14410E+03
  238131  0.14571E+03
  238132  0.14747E+03
  238133  0.14940E+03
  238134  0.15149E+03
  238135  0.15369E+03
  238136  0.15595E+03
  238137  0.15813E+03
  238138  0.15998E+03
  238139  0.16138E+03
  238140  0.16250E+03
  238141  0.16322E+03
  238142  0.16291E+03
  238143  0.16322E+03
  238144  0.16433E+03
  238145  0.16509E+03
  238146  0.16625E+03
  238147  0.16756E+03
  238148  0.16907E+03
  238149  0.17067E+03
  238150  0.17210E+03
  238151  0.17322E+03
  238152  0.17384E+03
  238153  0.17419E+03
  238154  0.17439E+03
  238155  0.17454E+03
  238156  0.17472E+03
  238157  0.17496E+03
  238158  0.17518E+03
  238159  0.17535E+03
  238160  0.17547E+03
  238161  0.17556E+03
  238162  0.17563E+03
  238163  0.17569E+03
  238164  0.17578E+03
  238165  0.17591E+03
  238166  0.17609E+03
  238167  0.17630E+03
  238168  0.17651E+03
  238169  0.17671E+03
  238170  0.17688E+03
  238171  0.17702E+03
  238172  0.17712E+03
  238173  0.17718E+03
  238174  0.17719E+03
  238175  0.17714E+03
  238176  0.17702E+03
  238177  0.17681E+03
  238178  0.17649E+03
  238179  0.17602E+03
  238180  0.17538E+03
  238181  0.17455E+03
  238182  0.17351E+03
  238183  0.17230E+03
  238184  0.17088E+03
  238185  0.16918E+03
  238186  0.16732E+03
  238187  0.16555E+03
  238188  0.16410E+03
  238189  0.16304E+03
  238190  0.16220E+03
  238191  0.16134E+03
  238192  0.16045E+03
  238193  0.15954E+03
  238194  0.15864E+03
  238195  0.15777E+03
  238196  0.15695E+03
  238197  0.15613E+03
  238198  0.15530E+03
  238199  0.15452E+03
  238200  0.15374E+03
  238201  0.15299E+03
  238202  0.15241E+03
  238203  0.15193E+03
  238204  0.15153E+03
  238205  0.15135E+03
  238206  0.15152E+03
  238207  0.15214E+03
  238208  0.15329E+03
  238209  0.15492E+03
  238210  0.15699E+03
  238211  0.15959E+03
  238212  0.16284E+03
  238213  0.16686E+03
  238214  0.17179E+03
  238215  0.17782E+03
  238216  0.18519E+03
  238217  0.19403E+03
  238218  0.20439E+03
  238219  0.21640E+03
  238220  0.23002E+03
  238221  0.24447E+03
  238222  0.25854E+03
  238223  0.27157E+03
  238224  0.28331E+03
  238225  0.29361E+03
  238226  0.30247E+03
  238227  0.30992E+03
  238228  0.31595E+03
  238229  0.32050E+03
  238230  0.32353E+03
  238231  0.32504E+03
  238232  0.15252E+03
  238233  0.15298E+03
  238234  0.15386E+03
  238235  0.15510E+03
  238236  0.15666E+03
  238237  0.15848E+03
  238238  0.16089E+03
  238239  0.16434E+03
  238240  0.16867E+03
  238241  0.17335E+03
  238242  0.17789E+03
  238243  0.18196E+03
  238244  0.18544E+03
  238245  0.18824E+03
  238246  0.19035E+03
  238247  0.19174E+03
  238248  0.19238E+03
  238249  0.19229E+03
  238250  0.19147E+03
  238251  0.18992E+03
  238252  0.18762E+03
  238253  0.18457E+03
  238254  0.18080E+03
  238255  0.17671E+03
  238256  0.17286E+03
  238257  0.16944E+03
  238258  0.16635E+03
  238259  0.16343E+03
  238260  0.16067E+03
  238261  0.15817E+03
  238262  0.15595E+03
  238263  0.15399E+03
  238264  0.15226E+03
  238265  0.15070E+03
  238266  0.14924E+03
  238267  0.14786E+03
  238268  0.14659E+03
  238269  0.14546E+03
  238270  0.14445E+03
  238271  0.14349E+03
  238272  0.14255E+03
  238273  0.14171E+03
  238274  0.14099E+03
  238275  0.14040E+03
  238276  0.13995E+03
  238277  0.13966E+03
  238278  0.13957E+03
  238279  0.13969E+03
  238280  0.14005E+03
  238281  0.14067E+03
  238282  0.14151E+03
  238283  0.14254E+03
  238284  0.14371E+03
  238285  0.14501E+03
  238286  0.14641E+03
  238287  0.14792E+03
  238288  0.14956E+03
  238289  0.15134E+03
  238290  0.15321E+03
  238291  0.15514E+03
  238292  0.15704E+03
  238293  0.15872E+03
  238294  0.15999E+03
  238295  0.16090E+03
  238296  0.16144E+03
  238297  0.16115E+03
  238298  0.16145E+03
  238299  0.16250E+03
  238300  0.16332E+03
  238301  0.16457E+03
  238302  0.16597E+03
  238303  0.16755E+03
  238304  0.16920E+03
  238305  0.17066E+03
  238306  0.17181E+03
  238307  0.17246E+03
  238308  0.17282E+03
  238309  0.17305E+03
  238310  0.17322E+03
  238311  0.17344E+03
  238312  0.17371E+03
  238313  0.17396E+03
  238314  0.17418E+03
  238315  0.17435E+03
  238316  0.17447E+03
  238317  0.17457E+03
  238318  0.17466E+03
  238319  0.17476E+03
  238320  0.17490E+03
  238321  0.17507E+03
  238322  0.17527E+03
  238323  0.17547E+03
  238324  0.17566E+03
  238325  0.17581E+03
  238326  0.17593E+03
  238327  0.17600E+03
  238328  0.17601E+03
  238329  0.17596E+03
  238330  0.17584E+03
  238331  0.17564E+03
  238332  0.17535E+03
  238333  0.17494E+03
  238334  0.17439E+03
  238335  0.17365E+03
  238336  0.17271E+03
  238337  0.17156E+03
  238338  0.17023E+03
  238339  0.16873E+03
  238340  0.16711E+03
  238341  0.16537E+03
  238342  0.16373E+03
  238343  0.16244E+03
  238344  0.16143E+03
  238345  0.16053E+03
  238346  0.15967E+03
  238347  0.15881E+03
  238348  0.15794E+03
  238349  0.15709E+03
  238350  0.15628E+03
  238351  0.15548E+03
  238352  0.15466E+03
  238353  0.15387E+03
  238354  0.15312E+03
  238355  0.15236E+03
  238356  0.15166E+03
