   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_03_Stamping
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 9 : Prog. = 85.709778
 Number         9
  238021  0.47508E+03
  238022  0.46697E+03
  238023  0.46131E+03
  238024  0.45752E+03
  238025  0.45434E+03
  238026  0.45154E+03
  238027  0.45261E+03
  238028  0.45401E+03
  238029  0.44562E+03
  238030  0.43583E+03
  238031  0.44228E+03
  238032  0.45861E+03
  238033  0.47163E+03
  238034  0.48013E+03
  238035  0.48461E+03
  238036  0.48674E+03
  238037  0.48772E+03
  238038  0.48814E+03
  238039  0.48826E+03
  238040  0.48820E+03
  238041  0.48798E+03
  238042  0.48771E+03
  238043  0.48730E+03
  238044  0.48631E+03
  238045  0.48337E+03
  238046  0.47476E+03
  238047  0.45247E+03
  238048  0.44184E+03
  238049  0.45329E+03
  238050  0.46161E+03
  238051  0.46225E+03
  238052  0.45910E+03
  238053  0.45495E+03
  238054  0.44884E+03
  238055  0.44259E+03
  238056  0.44025E+03
  238057  0.43939E+03
  238058  0.43669E+03
  238059  0.43418E+03
  238060  0.43330E+03
  238061  0.43325E+03
  238062  0.43372E+03
  238063  0.43527E+03
  238064  0.43714E+03
  238065  0.43859E+03
  238066  0.43928E+03
  238067  0.43926E+03
  238068  0.43933E+03
  238069  0.44044E+03
  238070  0.44275E+03
  238071  0.44611E+03
  238072  0.44914E+03
  238073  0.45149E+03
  238074  0.45361E+03
  238075  0.45503E+03
  238076  0.45553E+03
  238077  0.46847E+03
  238078  0.46914E+03
  238079  0.46906E+03
  238080  0.46846E+03
  238081  0.46767E+03
  238082  0.46693E+03
  238083  0.46607E+03
  238084  0.46488E+03
  238085  0.46316E+03
  238086  0.46015E+03
  238087  0.45676E+03
  238088  0.45176E+03
  238089  0.44270E+03
  238090  0.43680E+03
  238091  0.43709E+03
  238092  0.43981E+03
  238093  0.44348E+03
  238094  0.44647E+03
  238095  0.44867E+03
  238096  0.45039E+03
  238097  0.45181E+03
  238098  0.45300E+03
  238099  0.45436E+03
  238100  0.45500E+03
  238101  0.45285E+03
  238102  0.45029E+03
  238103  0.45018E+03
  238104  0.45222E+03
  238105  0.45491E+03
  238106  0.45685E+03
  238107  0.45940E+03
  238108  0.46222E+03
  238109  0.46098E+03
  238110  0.45774E+03
  238111  0.46092E+03
  238112  0.46366E+03
  238113  0.45603E+03
  238114  0.44241E+03
  238115  0.43061E+03
  238116  0.42652E+03
  238117  0.43841E+03
  238118  0.46106E+03
  238119  0.47673E+03
  238120  0.48320E+03
  238121  0.48592E+03
  238122  0.48688E+03
  238123  0.48725E+03
  238124  0.48744E+03
  238125  0.48760E+03
  238126  0.48776E+03
  238127  0.48795E+03
  238128  0.48811E+03
  238129  0.48819E+03
  238130  0.48820E+03
  238131  0.48809E+03
  238132  0.48779E+03
  238133  0.48717E+03
  238134  0.48592E+03
  238135  0.48372E+03
  238136  0.48023E+03
  238137  0.47503E+03
  238138  0.46776E+03
  238139  0.45927E+03
  238140  0.45194E+03
  238141  0.44790E+03
  238142  0.44743E+03
  238143  0.45027E+03
  238144  0.45405E+03
  238145  0.45673E+03
  238146  0.45886E+03
  238147  0.46391E+03
  238148  0.47273E+03
  238149  0.48025E+03
  238150  0.48345E+03
  238151  0.48390E+03
  238152  0.48407E+03
  238153  0.48421E+03
  238154  0.48437E+03
  238155  0.48454E+03
  238156  0.48470E+03
  238157  0.48483E+03
  238158  0.48490E+03
  238159  0.48495E+03
  238160  0.48499E+03
  238161  0.48502E+03
  238162  0.48501E+03
  238163  0.48500E+03
  238164  0.48499E+03
  238165  0.48496E+03
  238166  0.48493E+03
  238167  0.48491E+03
  238168  0.48488E+03
  238169  0.48484E+03
  238170  0.48475E+03
  238171  0.48465E+03
  238172  0.48455E+03
  238173  0.48442E+03
  238174  0.48411E+03
  238175  0.48179E+03
  238176  0.47470E+03
  238177  0.46466E+03
  238178  0.45656E+03
  238179  0.45208E+03
  238180  0.44880E+03
  238181  0.44516E+03
  238182  0.44412E+03
  238183  0.44391E+03
  238184  0.43826E+03
  238185  0.43889E+03
  238186  0.45089E+03
  238187  0.46369E+03
  238188  0.47434E+03
  238189  0.48136E+03
  238190  0.48511E+03
  238191  0.48694E+03
  238192  0.48780E+03
  238193  0.48814E+03
  238194  0.48822E+03
  238195  0.48809E+03
  238196  0.48785E+03
  238197  0.48758E+03
  238198  0.48709E+03
  238199  0.48581E+03
  238200  0.48218E+03
  238201  0.47247E+03
  238202  0.44980E+03
  238203  0.44076E+03
  238204  0.45355E+03
  238205  0.46155E+03
  238206  0.46192E+03
  238207  0.45879E+03
  238208  0.45468E+03
  238209  0.44899E+03
  238210  0.44372E+03
  238211  0.44225E+03
  238212  0.44235E+03
  238213  0.44091E+03
  238214  0.43964E+03
  238215  0.44028E+03
  238216  0.44156E+03
  238217  0.44293E+03
  238218  0.44532E+03
  238219  0.44789E+03
  238220  0.44965E+03
  238221  0.45037E+03
  238222  0.45030E+03
  238223  0.44986E+03
  238224  0.44979E+03
  238225  0.45042E+03
  238226  0.45369E+03
  238227  0.45792E+03
  238228  0.46074E+03
  238229  0.46328E+03
  238230  0.46490E+03
  238231  0.46533E+03
  238232  0.47303E+03
  238233  0.47350E+03
  238234  0.47359E+03
  238235  0.47339E+03
  238236  0.47316E+03
  238237  0.47293E+03
  238238  0.47262E+03
  238239  0.47213E+03
  238240  0.47117E+03
  238241  0.46926E+03
  238242  0.46676E+03
  238243  0.46188E+03
  238244  0.45274E+03
  238245  0.44527E+03
  238246  0.44301E+03
  238247  0.44430E+03
  238248  0.44780E+03
  238249  0.45084E+03
  238250  0.45273E+03
  238251  0.45419E+03
  238252  0.45522E+03
  238253  0.45577E+03
  238254  0.45644E+03
  238255  0.45737E+03
  238256  0.45626E+03
  238257  0.45493E+03
  238258  0.45553E+03
  238259  0.45586E+03
  238260  0.45589E+03
  238261  0.45561E+03
  238262  0.45622E+03
  238263  0.45878E+03
  238264  0.46160E+03
  238265  0.46365E+03
  238266  0.46484E+03
  238267  0.46498E+03
  238268  0.46086E+03
  238269  0.44775E+03
  238270  0.43600E+03
  238271  0.43251E+03
  238272  0.43236E+03
  238273  0.44446E+03
  238274  0.46577E+03
  238275  0.47940E+03
  238276  0.48438E+03
  238277  0.48625E+03
  238278  0.48697E+03
  238279  0.48729E+03
  238280  0.48747E+03
  238281  0.48763E+03
  238282  0.48780E+03
  238283  0.48798E+03
  238284  0.48812E+03
  238285  0.48817E+03
  238286  0.48811E+03
  238287  0.48789E+03
  238288  0.48741E+03
  238289  0.48650E+03
  238290  0.48485E+03
  238291  0.48228E+03
  238292  0.47859E+03
  238293  0.47377E+03
  238294  0.46836E+03
  238295  0.46377E+03
  238296  0.46158E+03
  238297  0.46214E+03
  238298  0.46447E+03
  238299  0.46745E+03
  238300  0.47044E+03
  238301  0.47368E+03
  238302  0.47737E+03
  238303  0.48084E+03
  238304  0.48320E+03
  238305  0.48425E+03
  238306  0.48460E+03
  238307  0.48476E+03
  238308  0.48488E+03
  238309  0.48500E+03
  238310  0.48512E+03
  238311  0.48525E+03
  238312  0.48534E+03
  238313  0.48540E+03
  238314  0.48544E+03
  238315  0.48547E+03
  238316  0.48548E+03
  238317  0.48548E+03
  238318  0.48546E+03
  238319  0.48545E+03
  238320  0.48543E+03
  238321  0.48541E+03
  238322  0.48539E+03
  238323  0.48537E+03
  238324  0.48532E+03
  238325  0.48525E+03
  238326  0.48515E+03
  238327  0.48505E+03
  238328  0.48492E+03
  238329  0.48465E+03
  238330  0.48371E+03
  238331  0.48111E+03
  238332  0.47564E+03
  238333  0.46922E+03
  238334  0.46515E+03
  238335  0.46240E+03
  238336  0.45923E+03
  238337  0.45461E+03
  238338  0.44979E+03
  238339  0.44849E+03
  238340  0.45355E+03
  238341  0.46241E+03
  238342  0.47096E+03
  238343  0.47819E+03
  238344  0.48307E+03
  238345  0.48580E+03
  238346  0.48720E+03
  238347  0.48788E+03
  238348  0.48814E+03
  238349  0.48816E+03
  238350  0.48798E+03
  238351  0.48773E+03
  238352  0.48743E+03
  238353  0.48683E+03
  238354  0.48516E+03
  238355  0.48038E+03
  238356  0.46939E+03
  238357  0.44633E+03
  238358  0.43849E+03
  238359  0.45248E+03
  238360  0.46040E+03
  238361  0.46082E+03
  238362  0.45807E+03
  238363  0.45432E+03
  238364  0.44911E+03
  238365  0.44507E+03
  238366  0.44444E+03
  238367  0.44479E+03
  238368  0.44383E+03
  238369  0.44286E+03
  238370  0.44401E+03
  238371  0.44586E+03
  238372  0.44750E+03
  238373  0.45004E+03
  238374  0.45266E+03
  238375  0.45416E+03
  238376  0.45456E+03
  238377  0.45434E+03
  238378  0.45364E+03
  238379  0.45301E+03
  238380  0.45247E+03
  238381  0.45493E+03
  238382  0.45933E+03
  238383  0.46223E+03
  238384  0.46506E+03
  238385  0.46746E+03
  238386  0.46887E+03
  238387  0.47490E+03
  238388  0.47524E+03
  238389  0.47539E+03
